Name,SPDXID,Version,DownloadLocation,License
"@emnapi/runtime","SPDXRef-Package-emnapi.runtime-1.9.1","1.9.1","https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.9.1.tgz","MIT"
"@emnapi/wasi-threads","SPDXRef-Package-emnapi.wasi-threads-1.2.0","1.2.0","https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.0.tgz","MIT"
"@grpc/grpc-js","SPDXRef-Package-grpc.grpc-js-1.14.3","1.14.3","https://registry.npmjs.org/@grpc/grpc-js/-/grpc-js-1.14.3.tgz","Apache-2.0"
"@grpc/proto-loader","SPDXRef-Package-grpc.proto-loader-0.8.0","0.8.0","https://registry.npmjs.org/@grpc/proto-loader/-/proto-loader-0.8.0.tgz","Apache-2.0"
"@harperfast/extended-iterable","SPDXRef-Package-harperfast.extended-iterable-1.0.3","1.0.3","https://registry.npmjs.org/@harperfast/extended-iterable/-/extended-iterable-1.0.3.tgz","Apache-2.0"
"@isaacs/cliui","SPDXRef-Package-isaacs.cliui-8.0.2","8.0.2","https://registry.npmjs.org/@isaacs/cliui/-/cliui-8.0.2.tgz","ISC"
"@js-sdsl/ordered-map","SPDXRef-Package-js-sdsl.ordered-map-4.4.2","4.4.2","https://registry.npmjs.org/@js-sdsl/ordered-map/-/ordered-map-4.4.2.tgz","MIT"
"@lmdb/lmdb-darwin-arm64","SPDXRef-Package-lmdb.lmdb-darwin-arm64-3.5.2","3.5.2","https://registry.npmjs.org/@lmdb/lmdb-darwin-arm64/-/lmdb-darwin-arm64-3.5.2.tgz","MIT"
"@msgpackr-extract/msgpackr-extract-darwin-arm64","SPDXRef-Package-msgpackr-extract.msgpackr-extract-darwin-arm64-3.0.3","3.0.3","https://registry.npmjs.org/@msgpackr-extract/msgpackr-extract-darwin-arm64/-/msgpackr-extract-darwin-arm64-3.0.3.tgz","MIT"
"@opentelemetry/api-logs","SPDXRef-Package-opentelemetry.api-logs-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/api-logs/-/api-logs-0.203.0.tgz","Apache-2.0"
"@opentelemetry/auto-instrumentations-node","SPDXRef-Package-opentelemetry.auto-instrumentations-node-0.62.1","0.62.1","https://registry.npmjs.org/@opentelemetry/auto-instrumentations-node/-/auto-instrumentations-node-0.62.1.tgz","Apache-2.0"
"@opentelemetry/context-async-hooks","SPDXRef-Package-opentelemetry.context-async-hooks-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/context-async-hooks/-/context-async-hooks-2.0.1.tgz","Apache-2.0"
"@opentelemetry/core","SPDXRef-Package-opentelemetry.core-2.6.0","2.6.0","https://registry.npmjs.org/@opentelemetry/core/-/core-2.6.0.tgz","Apache-2.0"
"@opentelemetry/core","SPDXRef-Package-opentelemetry.core-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/core/-/core-2.0.1.tgz","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-grpc","SPDXRef-Package-opentelemetry.exporter-logs-otlp-grpc-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-logs-otlp-grpc/-/exporter-logs-otlp-grpc-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-http","SPDXRef-Package-opentelemetry.exporter-logs-otlp-http-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-logs-otlp-http/-/exporter-logs-otlp-http-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-proto","SPDXRef-Package-opentelemetry.exporter-logs-otlp-proto-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-logs-otlp-proto/-/exporter-logs-otlp-proto-0.203.0.tgz","Apache-2.0"
